date_30,rf_gross_29d,date_60,rf_gross_59d,date_90,rf_gross_89d,date_180,rf_gross_179d
20071121,1.0038513358863244,20071121,1.0078491288510496,20071114,1.011847003059077,20071114,1.0229365534996666
20071219,1.0039915511371564,20071219,1.007905121744412,20071219,1.0116455703285152,20071219,1.0222125173709422
20080116,1.003238616602661,20080123,1.005253352635579,20080116,1.0093880274863887,20080116,1.0176835651077032
20080220,1.0025036182762646,20080220,1.004964729543792,20080213,1.0072061290675116,20080213,1.0135153823425855
20080319,1.002098302949251,20080319,1.0041422386693541,20080319,1.0060306073517074,20080319,1.011274537123062
20080416,1.0022012118297456,20080423,1.0047284333318873,20080416,1.0067993995600641,20080416,1.0134004581838412
20080521,1.0019332606966578,20080521,1.0041084221224101,20080514,1.006812251580257,20080521,1.0130826971313343
20080618,1.0020193012914362,20080618,1.0044344230824744,20080618,1.0069860754316897,20080618,1.0152451063983905
20080716,1.0019771297972129,20080723,1.0043975566693395,20080716,1.0066819498458215,20080716,1.0141825201346661
20080820,1.0019917901905058,20080820,1.0043587777053575,20080820,1.0068258733716662,20080820,1.0142277756087492
20080917,1.002541826045369,20080924,1.0062894654832606,20080917,1.00822649188913,20080917,1.0157168286997547
20081022,1.002524841474063,20081022,1.0047961155569924,20081015,1.0090090266317355,20081015,1.0150362173918686
20081119,1.0011178937689553,20081119,1.0027714012337094,20081119,1.0044179541545177,20081112,1.0092895607578571
20081217,1.0004764502673562,20081224,1.0015397992645827,20081217,1.002670675341201,20081217,1.0057878024368487
20090121,1.0002911459070345,20090121,1.0012715263821677,20090114,1.0022766662139537,20090114,1.0045033502806477
20090218,1.0003908012029792,20090218,1.001488242277085,20090211,1.0028310286275715,20090218,1.0059169502101348
20090318,1.0004373227750338,20090318,1.0014369432106518,20090318,1.0024759472266398,20090318,1.0054605982851956
20090415,1.0003587939042229,20090422,1.001271275573479,20090415,1.002063657974886,20090415,1.004672959346254
20090520,1.0002515260119043,20090520,1.0007557241405536,20090520,1.001265830743471,20090520,1.002946562261382
20090617,1.0002552259360271,20090624,1.0008533759309353,20090617,1.0014047086587272,20090617,1.0035853381785107
20090722,1.0002309834954766,20090722,1.0006471504771286,20090715,1.0011188126960795,20090715,1.0030027134098012
20090819,1.0002182376303284,20090819,1.0005722070961973,20090819,1.0009848315952086,20090819,1.0024356466929094
20090916,1.0001963587604472,20090923,1.0004764713365015,20090916,1.0008226900380497,20090916,1.0021044482004273
20091021,1.000196543089949,20091021,1.0004631109844,20091014,1.0007430156983332,20091014,1.0019386883573569
20091118,1.0001900005323552,20091118,1.000415644300587,20091118,1.0006569634261595,20091118,1.0015314156236477
20091216,1.0001863603798602,20091223,1.0004130438290226,20091216,1.000697470861445,20091216,1.0018442301002537
20100120,1.0001846378820278,20100120,1.000402388104288,20100113,1.000648172818675,20100113,1.00160725885731
20100217,1.0001848942587428,20100217,1.0004142449005848,20100217,1.0006779448456105,20100217,1.0016839961898631
20100317,1.0001911811317683,20100324,1.000464762237597,20100317,1.0007124905697913,20100317,1.0017248923135962
20100421,1.0002107668256237,20100421,1.0005056804551533,20100414,1.000779138643743,20100414,1.0018983587935992
20100519,1.0002757950178012,20100519,1.0007734530185668,20100519,1.001344628163753,20100519,1.0032773321500912
20100616,1.000280207605271,20100623,1.0007961570848942,20100616,1.0013191819431084,20100616,1.003221293896678
20100721,1.0002667780045602,20100721,1.0006625353679226,20100714,1.0011513359290203,20100721,1.0023402972622297
20100818,1.0002148288078248,20100818,1.0005031900230084,20100818,1.000816706287883,20100818,1.0018160274146364
20100915,1.0002070226317075,20100922,1.0004669556689314,20100915,1.0007666176640446,20100915,1.0018011770577697
20101020,1.0002066324981962,20101020,1.0004712774883728,20101020,1.0007678837583907,20101013,1.0015834378697577
20101117,1.000204638920032,20101124,1.0005296942766537,20101117,1.000750385938883,20101117,1.001731717824642
20101222,1.0002103463222298,20101222,1.0004855841748692,20101215,1.0008247014214384,20101215,1.0021060518855398
20110119,1.0002097412812772,20110119,1.0004780101924737,20110112,1.0007726662691494,20110112,1.001805233026086
20110216,1.000212718836708,20110216,1.0004851131009438,20110216,1.0007811092221102,20110216,1.0018288739799728
20110316,1.0002034666562427,20110323,1.000473272098817,20110316,1.000777471845713,20110316,1.0017831970768596
20110420,1.0001704026264675,20110420,1.0004067170603497,20110413,1.0006339495531085,20110420,1.0015240557638063
20110518,1.0001559166304468,20110518,1.0003818313283457,20110518,1.0006256296265836,20110518,1.0014543501868036
20110615,1.0001484226847899,20110622,1.0003808632669509,20110615,1.000659469091957,20110615,1.0016682800686567
20110720,1.000149486660863,20110720,1.000392922173311,20110720,1.000704652323093,20110720,1.0018372827492643
20110817,1.0001691404331703,20110824,1.0004924532965442,20110817,1.0008046576671386,20110817,1.0019657483632671
20110921,1.0001875725640936,20110921,1.0005251306398881,20110914,1.0009226852824629,20110914,1.002341094711149
20111019,1.0001946889917124,20111019,1.0005712637579482,20111019,1.0010152996865191,20111019,1.0024637979950821
20111116,1.0002007258156764,20111123,1.000750406317177,20111116,1.0012592788743715,20111116,1.003154409988384
20111221,1.0002332759071377,20111221,1.000743215640149,20111214,1.001227137832905,20111214,1.0030090798081683
20120118,1.0002228720236694,20120118,1.0006524175748772,20120118,1.0010885290631901,20120118,1.0023979212512084
20120215,1.0001981261723432,20120222,1.000592653029881,20120215,1.0009400746815338,20120215,1.0021246965587922
20120321,1.0001942958886572,20120321,1.0005943448856505,20120314,1.0009538447053323,20120321,1.002253476032259
20120418,1.0001932442731833,20120418,1.0005737092119311,20120418,1.0009798376434105,20120418,1.0022263780633964
20120516,1.0001906330416586,20120523,1.000602583488357,20120516,1.0010142140399805,20120516,1.0024827453549365
20120620,1.0001980447462366,20120620,1.0005792347492295,20120620,1.000963786489204,20120620,1.0021444503531016
20120718,1.00019741856863,20120725,1.0005737867992783,20120718,1.0008920154586727,20120718,1.0019224796939596
20120822,1.0001890684171688,20120822,1.0005364175660698,20120815,1.0008517925122244,20120815,1.001873653831779
20120919,1.000175752082901,20120919,1.0004522344447897,20120919,1.000734091033187,20120912,1.00160367219212
20121017,1.0001689946373726,20121024,1.0004208591019095,20121017,1.0006455742895266,20121017,1.0013698219852607
20121121,1.0001673636681199,20121121,1.0004361503923935,20121114,1.0006681989036106,20121114,1.0014499131624395
20121219,1.0001692793922845,20121219,1.0004236223225644,20121212,1.0006522433383953,20121219,1.0014800973525368
20130116,1.000164383920515,20130116,1.0004024535732852,20130116,1.0006555085150735,20130116,1.0014267500893708
20130213,1.0001632924109893,20130220,1.00041008245026,20130213,1.0006508788863495,20130213,1.0014430045807192
20130320,1.0001637153353138,20130320,1.0004186050489674,20130320,1.0006859905992656,20130320,1.0015429811517795
20130417,1.0001598844341657,20130424,1.000399408715031,20130417,1.000634400168246,20130417,1.0014030284980253
20130522,1.0001554112707751,20130522,1.0003825633003645,20130515,1.0006160116941107,20130515,1.0013565749407305
20130619,1.000153302140179,20130619,1.0003810641512791,20130619,1.000621926241613,20130619,1.0013833980594873
20130717,1.00015233002328,20130724,1.0003792427838007,20130717,1.0006156913407778,20130717,1.0014073666656886
20130821,1.0001470876930465,20130821,1.000372818917669,20130814,1.0006037226219815,20130821,1.0013950944389332
20130918,1.0001449363167345,20130918,1.0003524545264688,20130918,1.0005752912541481,20130918,1.0012988626936203
20131016,1.0001409124912937,20131023,1.0003387645908601,20131016,1.0005739520016608,20131016,1.0013349174851471
20131120,1.0001354927233197,20131120,1.0003334853073687,20131120,1.000533892433851,20131113,1.0012247841302775
20131218,1.0001357823823682,20131224,1.0003625029192287,20131218,1.000542406283951,20131218,1.0012157920529836
20140122,1.0001303270857702,20140122,1.000332958126671,20140115,1.000528899616539,20140115,1.0012115487076383
20140219,1.000125616253053,20140219,1.000321645222019,20140212,1.0005194023644404,20140212,1.0011565930460014
20140319,1.0001245777301981,20140319,1.0003231404475534,20140319,1.000531310686546,20140319,1.0011876840391303
